1,2,3,4,5,7,
1,2,3,4,5,7,
1,2,3,4,5,7,
1,2,3,4,5,7,
1,2,3,4,5,7,
1,2,3,4,5,7,
1,2,3,4,6,7,
1,2,3,4,6,7,
1,2,3,4,6,7,
1,2,3,4,6,7,
1,2,3,4,6,7,
1,2,4,3,6,7,
1,2,4,3,6,7,
1,2,4,3,6,7,
1,2,4,3,6,7,
1,2,3,4,6,7,
1,2,4,3,6,7,
1,2,4,3,6,7,
1,2,3,4,6,7,
1,2,4,3,6,7,
1,2,3,4,6,7,
1,2,4,3,6,7,
1,2,3,4,6,7,
1,2,4,3,6,7,
1,2,3,4,6,7,
1,2,3,4,6,7,
1,2,4,3,6,7,
1,2,4,3,6,7,
1,2,4,3,6,7,
1,2,4,3,6,7,
1,2,4,3,6,7,
1,2,4,3,6,7,
1,4,2,6,7,
1,2,4,3,6,7,
1,2,4,3,6,7,
1,2,4,3,6,7,
1,2,4,3,6,7,
1,2,4,3,6,7,
1,2,3,4,5,7,
1,2,3,4,5,7,
1,2,3,4,5,7,
1,2,3,4,5,7,
1,3,2,4,6,7,
1,2,4,3,5,7,
1,2,4,3,5,7,
1,2,4,3,5,7,
1,2,4,3,5,7,
1,2,4,3,5,7,
1,2,4,3,5,7,
1,2,3,4,6,7,
1,2,4,3,6,7,
1,2,4,3,6,7,
1,2,3,4,6,7,
1,2,3,4,6,7,
1,2,3,4,6,7,
1,2,3,4,6,7,
1,2,4,3,6,7,
1,2,4,3,6,7,
1,2,4,3,6,7,
1,2,4,3,6,7,
1,2,4,3,6,7,
1,2,4,3,6,7,
1,2,3,4,5,7,
1,2,3,4,5,7,
1,4,3,2,6,7,
1,4,3,2,6,7,
1,3,4,2,6,7,
1,3,4,2,6,7,
1,3,4,2,6,7,
1,2,4,3,6,7,
1,2,4,3,6,7,
1,2,4,3,6,7,
1,2,4,3,6,7,
1,2,4,3,6,7,
1,3,2,4,5,7,
1,2,4,6,7,
1,2,4,6,7,
1,2,4,6,7,
1,2,4,6,7,
1,2,3,4,6,7,
1,2,3,4,6,7,
1,2,3,4,6,7,
1,2,3,4,6,7,
1,2,3,4,6,7,
1,2,4,6,7,
1,2,3,4,6,7,
1,2,4,6,7,
1,2,3,4,6,7,
1,2,4,6,7,
1,2,3,4,6,7,
1,2,4,6,7,
1,2,3,4,6,7,
1,2,3,4,6,7,
1,2,4,3,6,7,
1,2,4,3,6,7,
1,4,2,5,7,
1,2,4,3,6,7,
1,2,4,3,6,7,
1,2,4,3,6,7,
1,3,4,2,6,7,
